"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"BUX",1033,"Bunia Airport","Bunia","Congo (Kinshasa)","BUX","FZKA",1.56571996212006,30.2208003997803,4045,"2","U","Africa/Lubumbashi","airport","OurAirports"
"BZU",1034,"Buta Zega Airport","Buta Zega","Congo (Kinshasa)","BZU","FZKJ",2.81835007667542,24.7936992645264,1378,"2","U","Africa/Lubumbashi","airport","OurAirports"
"BKY",1035,"Bukavu Kavumu Airport","Bukavu/kavumu","Congo (Kinshasa)","BKY","FZMA",-2.30897998809814,28.8087997436523,5643,"2","U","Africa/Lubumbashi","airport","OurAirports"
"GOM",1036,"Goma International Airport","Goma","Congo (Kinshasa)","GOM","FZNA",-1.67080998420715,29.2385005950928,5089,"2","U","Africa/Kigali","airport","OurAirports"
"KND",1037,"Kindu Airport","Kindu","Congo (Kinshasa)","KND","FZOA",-2.91917991638,25.9153995514,1630,"2","U","Africa/Lubumbashi","airport","OurAirports"
"FBM",1038,"Lubumbashi International Airport","Lubumashi","Congo (Kinshasa)","FBM","FZQA",-11.5913000107,27.5308990479,4295,"2","U","Africa/Lubumbashi","airport","OurAirports"
"KWZ",1039,"Kolwezi Airport","Kolwezi","Congo (Kinshasa)","KWZ","FZQM",-10.7658996582031,25.5056991577148,5007,"2","U","Africa/Lubumbashi","airport","OurAirports"
"FMI",1040,"Kalemie Airport","Kalemie","Congo (Kinshasa)","FMI","FZRF",-5.87555980682373,29.25,2569,"2","U","Africa/Lubumbashi","airport","OurAirports"
"KMN",1041,"Kamina Base Airport","Kamina Base","Congo (Kinshasa)","KMN","FZSA",-8.6420202255249,25.2528991699219,3543,"2","U","Africa/Lubumbashi","airport","OurAirports"
"KGA",1042,"Kananga Airport","Kananga","Congo (Kinshasa)","KGA","FZUA",-5.90005016327,22.4692001343,2139,"2","U","Africa/Lubumbashi","airport","OurAirports"
"MJM",1043,"Mbuji Mayi Airport","Mbuji-mayi","Congo (Kinshasa)","MJM","FZWA",-6.12124013901,23.5690002441,2221,"2","U","Africa/Lubumbashi","airport","OurAirports"
"BKO",1044,"Modibo Keita International Airport","Bamako","Mali","BKO","GABS",12.5335,-7.94994,1247,"0","N","Africa/Bamako","airport","OurAirports"
"GAQ",1045,"Gao Airport","Gao","Mali","GAQ","GAGO",16.2483997344971,-0.00545600010082125,870,"0","N","Africa/Bamako","airport","OurAirports"
"KYS",1046,"Kayes Dag Dag Airport","Kayes","Mali","KYS","GAKY",14.4812002182007,-11.4043998718262,164,"0","N","Africa/Bamako","airport","OurAirports"
"MZI",1047,"Mopti Airport","Mopti","Mali","MZI","GAMB",14.5128002167,-4.07955980301,906,"0","N","Africa/Bamako","airport","OurAirports"
"TOM",1048,"Timbuktu Airport","Tombouctou","Mali","TOM","GATB",16.7304992675781,-3.00758004188538,863,"0","N","Africa/Bamako","airport","OurAirports"
"BJL",1050,"Banjul International Airport","Banjul","Gambia","BJL","GBYD",13.3380002975464,-16.6522006988525,95,"0","N","Africa/Banjul","airport","OurAirports"
"FUE",1051,"Fuerteventura Airport","Fuerteventura","Spain","FUE","GCFV",28.4526996612549,-13.8638000488281,85,"0","E","Atlantic/Canary","airport","OurAirports"
"VDE",1052,"Hierro Airport","Hierro","Spain","VDE","GCHI",27.8148002624512,-17.8871002197266,103,"0","E","Atlantic/Canary","airport","OurAirports"
"SPC",1053,"La Palma Airport","Santa Cruz De La Palma","Spain","SPC","GCLA",28.626499,-17.7556,107,"0","E","Atlantic/Canary","airport","OurAirports"
"LPA",1054,"Gran Canaria Airport","Gran Canaria","Spain","LPA","GCLP",27.9319000244141,-15.3865995407104,78,"0","E","Atlantic/Canary","airport","OurAirports"
"ACE",1055,"Lanzarote Airport","Arrecife","Spain","ACE","GCRR",28.945499,-13.6052,46,"0","E","Atlantic/Canary","airport","OurAirports"
"TFS",1056,"Tenerife South Airport","Tenerife","Spain","TFS","GCTS",28.044500351,-16.5725002289,209,"0","E","Atlantic/Canary","airport","OurAirports"
"TFN",1057,"Tenerife Norte Airport","Tenerife","Spain","TFN","GCXO",28.4827003479,-16.3414993286,2076,"0","E","Atlantic/Canary","airport","OurAirports"
"MLN",1058,"Melilla Airport","Melilla","Spain","MLN","GEML",35.279800415,-2.9562599659,156,"1","E","Europe/Madrid","airport","OurAirports"
"FNA",1059,"Lungi International Airport","Freetown","Sierra Leone","FNA","GFLL",8.61644,-13.1955,84,"0","N","Africa/Freetown","airport","OurAirports"
"MLW",1062,"Spriggs Payne Airport","Monrovia","Liberia","MLW","GLMR",6.28906011581421,-10.7587003707886,25,"0","N","Africa/Monrovia","airport","OurAirports"
"ROB",1063,"Roberts International Airport","Monrovia","Liberia","ROB","GLRB",6.23379,-10.3623,31,"0","N","Africa/Monrovia","airport","OurAirports"
"AGA",1064,"Al Massira Airport","Agadir","Morocco","AGA","GMAD",30.3250007629395,-9.41306972503662,250,"0","N","Africa/Casablanca","airport","OurAirports"
"TTA",1065,"Tan Tan Airport","Tan Tan","Morocco","TTA","GMAT",28.4482002258301,-11.1612997055054,653,"0","N","Africa/Casablanca","airport","OurAirports"
"FEZ",1066,"Saïss Airport","Fes","Morocco","FEZ","GMFF",33.9272994995,-4.97796010971,1900,"0","N","Africa/Casablanca","airport","OurAirports"
"ERH",1068,"Moulay Ali Cherif Airport","Er-rachidia","Morocco","ERH","GMFK",31.9475002289,-4.39833021164,3428,"0","N","Africa/Casablanca","airport","OurAirports"
"MEK",1069,"Bassatine Airport","Meknes","Morocco","MEK","GMFM",33.8791007995605,-5.51512002944946,1890,"0","N","Africa/Casablanca","airport","OurAirports"
"OUD",1070,"Angads Airport","Oujda","Morocco","OUD","GMFO",34.7872009277344,-1.92399001121521,1535,"0","N","Africa/Casablanca","airport","OurAirports"
"GMD",1071,"Ben Slimane Airport","Ben Slimane","Morocco","GMD","GMMB",33.655399,-7.22145,627,"0","N","Africa/Casablanca","airport","OurAirports"
"RBA",1072,"Rabat-Salé Airport","Rabat","Morocco","RBA","GMME",34.051498,-6.75152,276,"0","N","Africa/Casablanca","airport","OurAirports"
"CMN",1074,"Mohammed V International Airport","Casablanca","Morocco","CMN","GMMN",33.3675003051758,-7.58997011184692,656,"0","N","Africa/Casablanca","airport","OurAirports"
"RAK",1075,"Menara Airport","Marrakech","Morocco","RAK","GMMX",31.6068992615,-8.03629970551,1545,"0","N","Africa/Casablanca","airport","OurAirports"
